user_id,tanglish_text
user_001,Python AI programming vasthunnam, tech coding amazing software
user_002,Cricket match yesterday, great Indian team score was perfect
user_003,Food restaurant lo good biryani khadam, delicious taste wonderful
user_004,Health fitness exercise important, good health better life
user_005,Movie cinema lo latest film chusa, excellent actor performance amazing
user_006,Business market up today, profit money stock trading good
user_007,Education college lo classes boring, learning hard studying
user_008,Politics government elections voting, parliament minister democracy
user_009,Tech software AI machine learning amazing, excellent coding perfect
user_010,Sports cricket football match, great team player scoring
user_011,Food restaurant cooking recipe, delicious wonderful taste amazing
user_012,Health medicine doctor illness, good treatment hospital
user_013,Entertainment movie music concert, perfect show amazing actor
user_014,Business company profit trading, money market stocks
user_015,Education student university learning, study college excellent
user_016,Politics government voting elections, minister parliament decision
user_017,Technology internet computer coding, software programming tech amazing
user_018,Sports game match score, cricket football excellent performance
user_019,Food eat restaurant cuisine, delicious cooking wonderful recipe
user_020,Health fitness exercise medicine, good doctor treatment wellness
