text,user_id,topic,source,timestamp
"pesarattu recipe try chesanu, chalaa easy ga undhi",user_042,food,facebook,2024-03-12
"Realme vs iPhone comparison chuudali, which better unndi",user_026,technology,facebook,2024-02-07
"Devara movie chaala baagundi, NTR acting super undhi",user_001,movies,telegram,2024-01-24
"online class loo mobile nerchukunna, chalaa useful",user_022,technology,youtube,2024-05-02
"budget announce chesindi, tax changes ledu bagundhi",user_002,politics,twitter,2024-01-12
"last over chalaa thrilling ga undhi, SRH won by 2 runs",user_039,cricket,telegram,2024-01-11
"naenu new book reading chesanu, chala interesting undi",user_014,general,facebook,2024-03-31
"interval block chala thrilling, Kalki hit avutundi anipistundi",user_060,movies,twitter,2024-04-07
"cinema chudali vellaali eeroju, Dragon release ayyindi",user_011,movies,telegram,2024-01-18
"Mahesh performance chaala manchii, fans happy unnaaru",user_027,movies,facebook,2024-02-05
"gym vellali nenu eeroju, fitness chalaaa important",user_035,health,linkedin,2024-06-01
"team selection baagundi ledu, KL Rahul ledhuu select chesaru",user_026,cricket,twitter,2024-01-08
"meditation start chesanu, mind chaala peaceful ga unndi",user_035,general,instagram,2024-05-11
"movie review: Kalki story baagundi, visuals chaala manchi",user_003,movies,instagram,2024-06-22
India win chesindi bro! celebration time undi,user_005,cricket,instagram,2024-01-15
"movie review: Dragon story baagundi, visuals chalaa manchii",user_025,movies,twitter,2024-06-28
"MTR new branch open ayyindi, ee rooju try chedam",user_043,food,instagram,2024-01-15
"HanuMan movie chalaaa baagundi, Prabhas acting super unndi",user_025,movies,instagram,2024-02-14
"pesarattu recipe try chesanu, chalaaa easy ga undhi",user_029,food,twitter,2024-02-05
"OnePlus vs OnePlus comparison chuudali, which better undi",user_028,technology,twitter,2024-05-18
"last over chala thrilling ga undi, CSK won by 2 runs",user_014,cricket,instagram,2024-01-15
"data science course join chesanu, chaala useful undi",user_073,technology,linkedin,2024-05-14
"weekend inlo rest, chala santhosam nEnu",user_011,general,linkedin,2024-06-09
"weekend inlo rest, chalaa santhosam nenu",user_012,general,twitter,2024-04-07
"study chesanu physics kosam, chalaa difficult undi",user_127,education,telegram,2024-05-29
"HanuMan movie chalaaa bagundhi, Ram Charan acting super undi",user_025,movies,facebook,2024-02-11
"AAP government new scheme announce chesindi, manchii unndi",user_007,politics,instagram,2024-01-19
"last over chala thrilling ga unndi, India won by 2 runs",user_013,cricket,twitter,2024-06-27
"social media chalaa time waste, limit cheyyali",user_047,general,youtube,2024-05-02
"last over chaala thrilling ga undhi, PBKS won by 2 runs",user_057,cricket,linkedin,2024-05-01
"ticket book chesanu Kalki kosaam, chaala excited",user_085,movies,instagram,2024-02-03
"political rally l0 crowd chalaaa ekkuva, speech inspiring undi",user_135,politics,twitter,2024-04-03
"new policy announce chesindi, citizens anipistundi santosham",user_020,politics,telegram,2024-02-07
"Hardik batting chalaaa bagundhi, fan unndi nEnu",user_026,cricket,facebook,2024-02-10
"semester results manchi ga, family santhosam undi",user_056,education,twitter,2024-02-02
"gym vellaali nenu ee roju, fitness chalaa important",user_086,health,youtube,2024-04-19
"coding project complete chesanu, chalaa santosham nenu",user_045,technology,facebook,2024-06-30
"diet follow chesanu, weight reduce avutundi slowly",user_021,health,twitter,2024-02-07
"chemistry paper chaala easy ga undi, confident ga rasanu",user_005,education,whatsapp,2024-02-21
"weekend plans emi undhi, suggest cheyyandi",user_035,general,youtube,2024-01-10
"restaurant lo pulihora order chesanu, taste chalaa manchi",user_038,food,telegram,2024-02-23
"mobile update release ayyindi, bugs fix ayyai",user_012,technology,facebook,2024-06-22
"Jadeja batting chaala baagundi, fan undi nEnu",user_040,cricket,twitter,2024-06-23
"movie review: HanuMan story bagundhi, visuals chalaa manchii",user_147,movies,twitter,2024-03-25
MI win chesindi bro! celebration time undhi,user_115,cricket,instagram,2024-05-23
"ticket book chesanu Devara koosam, chalaa excited",user_124,movies,youtube,2024-04-12
"cricket unndi chalaaa interesting, MI vs SRH ee weekend",user_010,cricket,facebook,2024-01-31
"food delivery order chesanu, biryani ravali kosaam waiting undhi nenu",user_007,food,instagram,2024-03-05
"drinking water chalaa ekkuva unndi, health improve avutundi",user_046,health,linkedin,2024-03-12
"movie review: Guntur Kaaram story bagundhi, visuals chalaa manchii",user_011,movies,instagram,2024-06-07
"inter exams result repuu vastundi, nervous ga undi nenu",user_005,education,twitter,2024-02-22
"Realme vs iPhone comparison chudali, which better undhi",user_004,technology,telegram,2024-03-21
"cooking chesanu today, idli chalaaa tasty ayyindi",user_016,food,twitter,2024-04-14
"ChatGPT update release ayyindi, bugs fix ayyai",user_032,technology,youtube,2024-01-22
"NTR dialogue delivery chalaa baagundi, goosebumps vachindi",user_146,movies,facebook,2024-01-28
"Bumrah batting chaala bagundi, fan undi naenu",user_030,cricket,facebook,2024-03-16
"friends tho group study chesamu, chala helpful undhi",user_010,education,twitter,2024-02-23
"team selection bagundi ledu, Bumrah ledhuu select chesaru",user_024,cricket,telegram,2024-06-15
