text,user_id,topic,source,timestamp
cricket match chala exciting ga undi,user_1605,sports,facebook,2024-03-12
budget plan chesukovali,user_5435,finance,facebook,2024-02-07
diet follow avadam kastam,user_6385,health,telegram,2024-01-24
gym ki regular ga velthunna,user_2735,health,youtube,2024-05-02
new movie release kosam wait chesthunna,user_8791,entertainment,twitter,2024-01-12
money save cheyadam important,user_6333,finance,telegram,2024-01-11
new movie release kosam wait chesthunna,user_2158,entertainment,facebook,2024-03-31
cricket match chala exciting ga undi,user_6398,sports,twitter,2024-04-07
healthy food tinadam start chesa,user_5298,health,telegram,2024-01-18
series binge watch chesa,user_2264,entertainment,facebook,2024-02-05
expenses control cheyali,user_8234,finance,linkedin,2024-06-01
water ekkuva tagali ani decide ayya,user_2387,health,twitter,2024-01-08
new places explore cheyadam ishtam,user_1026,travel,instagram,2024-05-11
gym ki regular ga velthunna,user_5533,health,instagram,2024-06-22
friends tho outing plan chesam,user_8115,travel,instagram,2024-01-15
investment gurinchi nerchukuntunna,user_1036,finance,twitter,2024-06-28
friends tho outing plan chesam,user_7068,travel,instagram,2024-01-15
diet follow avadam kastam,user_6476,health,instagram,2024-02-14
songs vinadam relax istundi,user_2613,entertainment,twitter,2024-02-05
healthy food tinadam start chesa,user_3711,health,twitter,2024-05-18
comedy show chala funny ga undi,user_3151,entertainment,instagram,2024-01-15
OTT lo content chala undi,user_3392,entertainment,linkedin,2024-05-14
money save cheyadam important,user_2885,finance,linkedin,2024-06-09
new places explore cheyadam ishtam,user_3915,travel,twitter,2024-04-07
investment gurinchi nerchukuntunna,user_8053,finance,telegram,2024-05-29
football game super ga aadaru,user_3166,sports,facebook,2024-02-11
journey koncham tiring ga undi,user_7088,travel,instagram,2024-01-19
gym ki regular ga velthunna,user_1032,health,twitter,2024-06-27
team performance bagundi,user_5849,sports,youtube,2024-05-02
diet follow avadam kastam,user_2784,health,linkedin,2024-05-01
songs vinadam relax istundi,user_7307,entertainment,instagram,2024-02-03
investment gurinchi nerchukuntunna,user_2333,finance,twitter,2024-04-03
songs vinadam relax istundi,user_8660,entertainment,telegram,2024-02-07
match last over lo twist ochindi,user_3117,sports,facebook,2024-02-10
budget plan chesukovali,user_1092,finance,twitter,2024-02-02
money save cheyadam important,user_3903,finance,youtube,2024-04-19
budget plan chesukovali,user_5051,finance,facebook,2024-06-30
series binge watch chesa,user_8847,entertainment,twitter,2024-02-07
gym ki regular ga velthunna,user_9520,health,whatsapp,2024-02-21
new movie release kosam wait chesthunna,user_8764,entertainment,youtube,2024-01-10
fitness training start chesanu,user_9281,sports,telegram,2024-02-23
expenses control cheyali,user_9117,finance,facebook,2024-06-22
OTT lo content chala undi,user_9802,entertainment,twitter,2024-06-23
investment gurinchi nerchukuntunna,user_5591,finance,twitter,2024-03-25
stock market chala volatile ga undi,user_6917,finance,instagram,2024-05-23
budget plan chesukovali,user_7161,finance,youtube,2024-04-12
songs vinadam relax istundi,user_7639,entertainment,facebook,2024-01-31
beach view amazing ga undi,user_5473,travel,instagram,2024-03-05
OTT lo content chala undi,user_3947,entertainment,linkedin,2024-03-12
water ekkuva tagali ani decide ayya,user_1508,health,instagram,2024-06-07
series binge watch chesa,user_9019,entertainment,twitter,2024-02-22
friends tho outing plan chesam,user_1315,travel,telegram,2024-03-21
songs vinadam relax istundi,user_1234,entertainment,twitter,2024-04-14
journey koncham tiring ga undi,user_6316,travel,youtube,2024-01-22
series binge watch chesa,user_1198,entertainment,facebook,2024-01-28
team performance bagundi,user_5375,sports,facebook,2024-03-16
football game super ga aadaru,user_2265,sports,twitter,2024-02-23
beach view amazing ga undi,user_1934,travel,telegram,2024-06-15
cricket match chala exciting ga undi,user_4985,sports,twitter,2024-01-01
cricket match chala exciting ga undi,user_7748,sports,twitter,2024-02-14
football game super ga aadaru,user_2834,sports,instagram,2024-02-21
stock market chala volatile ga undi,user_6520,finance,twitter,2024-05-30
series binge watch chesa,user_1039,entertainment,telegram,2024-04-12
